time	Vg	Id(=Ig)	Ig(=Id)
67.5449996	-0.800024	9.30229e-05	1.50465e-07
67.664317	-0.800023	9.31048e-05	1.30381e-07
67.7833679	-0.800022	9.3184e-05	1.16624e-07
67.9162569	-0.800023	9.32619e-05	1.05815e-07
68.1518842	-0.800024	9.33752e-05	2.29117e-08
68.2144144	-0.800024	9.34464e-05	1.95038e-08
68.3458812	-0.800022	9.35206e-05	1.74286e-08
68.4719353	-0.800023	9.35882e-05	1.50437e-08
68.6056891	-0.800025	9.36569e-05	1.3141e-08
68.7197409	-0.800024	9.37162e-05	1.15525e-08
68.8433315	-0.800023	9.37749e-05	9.6735e-09
68.9661688	-0.800022	9.38353e-05	8.82891e-09
69.075103	-0.800023	9.3885e-05	7.12199e-09
69.218091	-0.800023	9.39431e-05	6.38438e-09
69.3502481	-0.800023	9.39983e-05	5.25703e-09
69.4597483	-0.800022	9.40467e-05	4.05488e-09
69.5983054	-0.800023	9.40996e-05	3.78996e-09
69.714769	-0.800023	9.41423e-05	2.31271e-09
69.8193285	-0.800024	9.41887e-05	1.82153e-09
69.9592069	-0.800023	9.4231e-05	1.22027e-09
70.0691494	-0.800022	9.42721e-05	4.51243e-10
70.1982927	-0.800023	9.43157e-05	3.25406e-10
70.3262169	-0.800022	9.43564e-05	6.71279e-10
70.4500816	-0.800023	9.4398e-05	8.42345e-10
70.5765577	-0.800022	9.44379e-05	1.08123e-09
70.7092623	-0.800022	9.44771e-05	2.08836e-09
70.8076329	-0.800022	9.45116e-05	1.86808e-09
71.0259145	-0.800021	9.45612e-05	2.86956e-09
71.0809655	-0.800021	9.4594e-05	2.75027e-09
71.2339874	-0.800023	9.46298e-05	3.17794e-09
71.3484251	-0.800022	9.46645e-05	3.14522e-09
71.4719037	-0.800023	9.46949e-05	3.29169e-09
71.6114357	-0.800024	9.47281e-05	3.77848e-09
71.7288021	-0.800023	9.47604e-05	3.58624e-09
71.8912324	0.0999537	1.85471e-05	8.64641e-06
72.0018352	0.0999528	1.60307e-05	1.38513e-06
72.1465712	0.0999536	1.55469e-05	3.74957e-07
72.2470158	0.0999533	1.54099e-05	1.92602e-07
72.3690911	0.0999536	1.53376e-05	1.27222e-07
72.6779325	0.0999542	1.52706e-05	4.17014e-08
72.7090959	0.0999572	1.5249e-05	3.77096e-08
72.8318283	0.0999562	1.52319e-05	3.51871e-08
73.0282381	0.0999539	1.52184e-05	3.31712e-08
73.0965582	0.0999555	1.52061e-05	3.14044e-08
73.2003995	0.0999553	1.51982e-05	2.99571e-08
73.3243389	0.0999563	1.51923e-05	2.91329e-08
73.4563327	0.0999554	1.51849e-05	2.86952e-08
73.5835856	0.0999565	1.51796e-05	2.77702e-08
73.7030475	0.0999553	1.51743e-05	2.73714e-08
73.8295171	0.0999559	1.51704e-05	2.67353e-08
73.9652158	0.0999556	1.51665e-05	2.64398e-08
74.0845601	0.099956	1.51623e-05	2.59139e-08
74.2220655	0.0999562	1.5159e-05	2.5587e-08
74.3641072	0.0999545	1.51555e-05	2.52704e-08
74.4859053	0.0999544	1.51529e-05	2.49561e-08
74.608126	0.099955	1.51499e-05	2.47087e-08
74.7375552	0.0999554	1.51478e-05	2.4557e-08
74.888179	-0.800023	9.95824e-05	8.37226e-06
75.0310324	-0.800023	9.43313e-05	1.2483e-06
75.1958614	-0.800025	9.39283e-05	3.75176e-07
75.3750953	-0.800023	9.3936e-05	2.30007e-07
75.4553833	-0.800023	9.39927e-05	1.6227e-07
75.5730936	-0.800023	9.40543e-05	1.37236e-07
75.6985701	-0.80002	9.41212e-05	1.18989e-07
75.8168276	-0.800022	9.41864e-05	1.07536e-07
76.1187055	-0.800021	9.43033e-05	2.21485e-08
76.1722205	-0.80002	9.43734e-05	1.79924e-08
76.3040047	-0.800019	9.44407e-05	1.58391e-08
76.4105016	-0.800019	9.44979e-05	1.37762e-08
76.5565305	-0.80002	9.45567e-05	1.10429e-08
76.6688956	-0.800021	9.4615e-05	1.00408e-08
76.7925439	-0.800021	9.46689e-05	8.01565e-09
76.9110297	-0.800022	9.47216e-05	6.91595e-09
77.0422811	-0.800019	9.47711e-05	6.06095e-09
77.1570841	-0.80002	9.48185e-05	4.34873e-09
77.302188	-0.800021	9.48672e-05	3.93351e-09
77.420907	-0.80002	9.49144e-05	2.78163e-09
77.5667278	-0.80002	9.49611e-05	1.60894e-09
77.6756258	-0.800022	9.50024e-05	1.20064e-09
77.7992387	-0.800022	9.50422e-05	2.01488e-10
77.9330147	-0.800021	9.50826e-05	5.70655e-11
78.0480688	-0.80002	9.51227e-05	1.19177e-09
78.1975064	-0.800022	9.51604e-05	1.49561e-09
78.3151265	-0.800021	9.51977e-05	1.92077e-09
78.4308865	-0.80002	9.52321e-05	2.50931e-09
78.5966958	-0.80002	9.52721e-05	2.51796e-09
78.7053378	-0.800018	9.53045e-05	2.90091e-09
78.8672661	-0.800019	9.53428e-05	2.86533e-09
78.9979345	-0.800021	9.53782e-05	3.19791e-09
79.105717	-0.80002	9.54083e-05	3.59136e-09
79.2340683	-0.80002	9.54373e-05	3.54664e-09
79.3499413	-0.80002	9.54697e-05	3.71726e-09
79.4666895	-0.800022	9.54963e-05	3.88386e-09
79.5978313	-0.800021	9.55228e-05	4.12145e-09
79.7257646	-0.800022	9.5551e-05	4.30341e-09
79.8888378	0.0999545	1.8383e-05	8.69022e-06
80.0038061	0.0999559	1.60338e-05	1.27187e-06
80.1506019	0.0999555	1.55609e-05	3.43109e-07
80.262007	0.0999558	1.54287e-05	1.86309e-07
80.4434032	0.0999569	1.53463e-05	1.11093e-07
80.6472001	0.0999565	1.52962e-05	4.02523e-08
80.7581918	0.0999572	1.52727e-05	3.66988e-08
80.8726363	0.0999585	1.52548e-05	3.38656e-08
81.0334983	0.099959	1.52419e-05	3.17642e-08
81.1860548	0.0999571	1.52305e-05	2.96314e-08
81.3008067	0.099957	1.52212e-05	2.87537e-08
81.4050618	0.0999587	1.52159e-05	2.78165e-08
81.5814799	0.0999586	1.5209e-05	2.72405e-08
81.6962482	0.0999587	1.52037e-05	2.65239e-08
81.8120656	0.099958	1.51999e-05	2.61373e-08
81.9234224	0.0999572	1.51958e-05	2.54574e-08
82.0583875	0.0999569	1.51924e-05	2.52597e-08
82.182301	0.0999573	1.51883e-05	2.4917e-08
82.31419	0.099958	1.51861e-05	2.4479e-08
82.4323479	0.0999562	1.51833e-05	2.42648e-08
82.5543854	0.0999548	1.51805e-05	2.3995e-08
82.6872978	0.0999573	1.51786e-05	2.36699e-08
82.8201554	0.0999556	1.51753e-05	2.35297e-08
82.9934442	-0.800018	9.92612e-05	8.40465e-06
83.107472	-0.800017	9.51512e-05	1.15156e-06
83.2588559	-0.800016	9.47467e-05	3.6214e-07
83.3590034	-0.800017	9.47284e-05	2.29529e-07
83.4845591	-0.800018	9.47647e-05	1.72908e-07
83.6123813000001	-0.800017	9.4812e-05	1.41331e-07
83.729996	-0.800018	9.48747e-05	1.21682e-07
83.8579290000001	-0.800018	9.49349e-05	1.0753e-07
84.0941718000001	-0.80002	9.50243e-05	2.16531e-08
